source,group,feature,icc_2_1,n_subjects,n_trials,trial_ids_used,ms_subject,ms_trial,ms_error
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_max_angular_acceleration,0.2986267844500887,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",378.24599152563565,36.306053113390114,31.54992135953326
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_std_angular_acceleration,0.5359321053782646,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",31.615669165036977,1.260806742560956,0.9518628440155881
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_avg_stride_time,0.9304282968770216,2,10,"1,2,3,4,5,6,7,8,9,10",0.13839812342315364,0.00046760841096789237,0.0015784975436839916
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_max_stride_time,0.5568115714173415,2,10,"1,2,3,4,5,6,7,8,9,10",2.7751250000000005,0.18987166666666663,0.2173027777777778
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_std_stride_time,0.437093676537258,2,10,"1,2,3,4,5,6,7,8,9,10",0.0409867115227687,0.0036197585379777694,0.0055162824859655325
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_u_turn_time,0.528050997023418,2,10,"1,2,3,4,5,6,7,8,9,10",1.8666050000000012,0.10253833333333336,0.19607166666666645
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_gait_cadence,0.938556833215753,2,10,"1,2,3,4,5,6,7,8,9,10",0.3642996636863728,0.0010440379573730578,0.003677628135138478
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_avg_angular_velocity_peak,-0.05345394948800541,2,10,"1,2,3,4,5,6,7,8,9,10",0.034368083980772506,0.014884141976360031,0.05111178088810189
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_max_angular_velocity_peak,-0.01156219622009854,2,10,"1,2,3,4,5,6,7,8,9,10",0.3973990278308053,0.5144014697578095,0.45266719472577993
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_std_angular_velocity_peak,-0.0621565218823697,2,10,"1,2,3,4,5,6,7,8,9,10",0.02183332645935069,0.038760488754006124,0.04689608641638502
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_avg_angular_acceleration,0.5741799953998942,2,10,"1,2,3,4,5,6,7,8,9,10",4.351306155335769,0.33063436795361706,0.27410729839718356
HE_Gyr_Magnitude,healthy,HE_Gyr_Magnitude_max_angular_acceleration,0.29228987019315117,2,10,"1,2,3,4,5,6,7,8,9,10",113.57430075845464,19.04186944363053,24.22549188232246
