source,feature,value_column,group_column,groups,group_counts,f_statistic,p_value,eta_squared,eta_squared_ci_low,eta_squared_ci_high,omega_squared,df_between,df_within,healthy_mean,healthy_std,neuro_mean,neuro_std,ortho_mean,ortho_std
HE_Gyr_Magnitude,Std stride time,HE_Gyr_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.020276201160208816,0.06863397421753259,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
RF_Gyr_Magnitude,Std stride time,RF_Gyr_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.0190149748005408,0.06703647833092097,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
LF_Gyr_Magnitude,Std stride time,LF_Gyr_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.019060706426105974,0.06696468940381146,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
HE_FreeAcc_Magnitude,Std stride time,HE_FreeAcc_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.019510217456792763,0.06812559007032788,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
RF_minus_LF_FreeAcc_Magnitude,Std stride time,RF_minus_LF_FreeAcc_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.01939596739915146,0.0687228126805063,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
LF_FreeAcc_Magnitude,Std stride time,LF_FreeAcc_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.01966857943075442,0.06831898782285345,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
LB_FreeAcc_Magnitude,Std stride time,LB_FreeAcc_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.019366163263722116,0.06650767112173009,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
LB_Gyr_Magnitude,Std stride time,LB_Gyr_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.019335250842465665,0.06840093936583355,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
RF_minus_LF_Gyr_Magnitude,Std stride time,RF_minus_LF_Gyr_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.01914898853004683,0.06575446989293807,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
RF_FreeAcc_Magnitude,Std stride time,RF_FreeAcc_Magnitude_std_stride_time,Disease_Group,"healthy,neuro,ortho","297,627,166",21.64001308269991,6.083274390747502e-10,0.038291419085084696,0.019700795675706453,0.06757679587265385,0.036489662338796074,2,1087,0.12594843260585942,0.09892173398540514,0.15811343444106649,0.12869489982131263,0.20853757445409804,0.17444352299614405
