split,feature_1,feature_2,n,spearman_rho,p_value
test,Mean acceleration (RF-LF),Std acceleration (RF-LF),266,0.049437245860039114,0.4219799318497345
test,Proposed Biomarker,Mean acceleration (RF-LF),266,0.04183524318534305,0.4968867497744017
test,Proposed Biomarker,Avg angular acceleration (RF-LF),266,0.03864027250657914,0.5303510294925826
test,Max jerk (RF-LF),Mean acceleration (RF-LF),266,0.03790449199105459,0.5382157179468569
test,U-turn time,Mean acceleration (RF-LF),266,0.03213588620041643,0.6018186954292094
test,Proposed Biomarker,Std angular acceleration (RF-LF),266,0.031860125191078184,0.6049417730532074
test,Std stride time,Mean acceleration (RF-LF),266,-0.029440465696783828,0.6326489135822371
test,Proposed Biomarker,Mean angular velocity (RF-LF),266,0.029224322200455555,0.6351498458262339
test,Std stride time,Mean angular velocity (RF-LF),266,-0.02579535546519468,0.6753638325824378
test,Max stride time,Mean acceleration (RF-LF),266,-0.024738412104956798,0.6879544016668111
test,Avg angular velocity peak (RF-LF),Mean acceleration (RF-LF),266,0.022067995938542563,0.7201437019349081
test,Proposed Biomarker,Std angular velocity (RF-LF),266,0.01594010466063399,0.7958147556441016
test,Max stride time,Mean angular velocity (RF-LF),266,-0.0076007588405881095,0.9018041325328785
test,Avg stride time,Mean angular velocity (RF-LF),266,0.007336447011600592,0.9052025245707441
test,Gait cadence,Mean angular velocity (RF-LF),266,0.004680244401784593,0.9394402538393233
test,Mean acceleration (RF-LF),Std angular velocity (RF-LF),266,-0.0021521898874810514,0.9721308633545198
